French,Tamazight_Kabyle,LLM_Translation
Il m'a tellement ému.,Yejreh tasa-w s tideţ.,Iḥuza-yi nezzeh.
Le foie est un organe du corps humain.,Tasa d agman n tfekka n wemdan.,Tasa d agman n tfekka n umdan.
À quoi sert de rapiécer une trop grande déchirure ?,"Imi acerrig meqqaṛ, d acu ar as-d-teg tfaweţ?",D acu n lmenfa n ureqqeɛ n tirsit i d-yugaren lqis?
J'ignore ce qu'est votre problème.,Ur ẓriɣ d acu i tesεiḍ d aɣbel.,Ur zriɣ ara d acu i d ugur-nwen.
"Vous avez clairement du talent, c'est vraiment dommage que vous n'ayez pas étudié plus!","Atan iban tesεiḍ tasefkt, d asḥissef imi ur teɣriḍ ugar n wakka!","Tseɛdam lfetna s tidet, d lxiṣara tameqrant imi ur teɣrim ara akter!"
Cet ordinateur portable est léger.,Aselkim-a ufus fessus.,Aselkim-agi n ufus fessus.
Il a fondu en larmes.,Yeṭṭerḍeq d imeṭṭawen.,Yeṛḍa d imeṭṭawen.
Elle ne fera pas la vaisselle.,Ur tessirid ara iqbac,Ur d-tessirid ara ssaxen.
Mate un peu sa taille !,ẓer kan ata lqedd !,Muqel ciṭuḥ lqedd-is!
C'est tout ce que j'ai comme monnaie.,D ayen i sεiɣ d ṣṣerf.,D ayagi kan i sɛiɣ n sserf.
"Tout ça, rien que pour toi !","Annect-a yark, ilmend-im!",Ayagi akk i kečč kan!
Je déteste cette école.,Ɣucceɣ aɣerbaz-a.,Keṛheɣ aɣerbaz-agi.
Elle était assise sous un arbre.,Tella teqqim ddaw ttejra.,Tella teqqim seddaw taddagt.
Ce tissu se déchire facilement.,Aceṭṭiḍ-a yettɣersa.,Lketan-agi ițerreg s sshala.
Le pont est en train d'être repeint.,Ttεawaden-as ssbiɣa i tqenṭert.,Taqenṭert la tettusebbiɣ tikkelt nniḍen.
"Veux-tu me montrer le chemin, je te prie ?",Ssken-iyi-d abrid ttxil-k.,"Tzemreḍ a yi-tsneɛteḍ abrid, di leɛnaya-k?"
Y a-t-il des astuces de grand-mère pour soulager les maux de tête ?,Tella kra ddwa n wexxam i leqriḥ n uqerru ?,Ma llan kra n isafaren n zik iwakken ad issemsis uqreḥ n uqerru?
"Je vais m'asseoir sur le banc là-bas, près du lampadaire.",Ad ruḥeɣ ad qqimeɣ dihin ɣef lbenk ɣer yiri n llamba n webrid.,"Ad qqimeɣ ɣef ubanku dihin, tama n teftilt n ubrid."
"Tu vas bien, j'espère ?",Yak ur kem-yuɣ wara?,Ssarameɣ telliḍ di lεali?
Tu as l'air de n'être aucunement concerné.,Ad s-tiniḍ ur k-terzi maḍi taluft.,Tbaned amzun ur k-iɛna wulac.
Plusieurs personnes se tenaient devant l'affiche.,Aṭas n medden i yeqqimen zzat unazal.,Aṭas n medden i ibedden zdat n tinfict.
Le robot semblait tellement vivant que c'était terrifiant.,Aṛubu-nni yessexlaε seg akken yettbin-d s tidet d amuddir.,Arubut-nni itban-d d amuddir mliḥ armi yessagad.
Le pont céda en raison de la crue.,Tiqenṭert-nni ur teṭṭif ara deg uḥemmal n waman.,Taqenṭert tehudd seg lḥemla.
"Tu vas bien, j'espère !",Yak ur kem-yuɣ wara?,Ssarameɣ tellid di lehna.
Tu as un grand nez.,Meqqer anzaren-ik.,Tesɛiḍ tinzer tameqrant.
J'accrochais mes photos sur le mur.,Lliɣ ssenṭaḍeɣ tiwlafin-iw ɣer lḥiḍ.,Ttagleɣ tewlafin-iw ɣef lḥid.
Lisez ceci d'abord.,Ɣer aya di tazwara.,Ɣret aya d amezwaru.
Qui l'a ?,Anwa i t-yesɛan?,Anwa i t-isɛan?
J'apprends le français maintenant.,Ad lemdeɣ tafransist tura.,Llemdeɣ tafransist tura.
J'apprends le français maintenant.,Lemmdeɣ tafransist tura.,La lmedeɣ tafransist tura.
Tom obéira.,Tom ad yaɣ awal.,Tom ad yaɣ awal.
Dis-le à Tom.,Ini-as-t i Tom.,Ini-t i Tom.
Informez-en Tom.,Sseɛlem Tom.,Mlet-as i Tom.
Informez-en Tom.,Lɣu Tom.,Mlet-as i Tom.
Tom est enseignant de français.,Tom d aselmad n tefransist.,Tom d aselmad n tefransist.
Tom est professeur de français.,Tom d apṛufiṣur n tefransist.,Tom d aselmad n tefransist.
As-tu acheté les médicaments ?,Tuɣeḍ-d dwawi?,Tyuɣeḍ isafaren?
Il ne perd pas de temps.,Ur isṛuḥay ara lweqt.,Ur iḍeyyiɛ ara lweqt.
Il ne perd pas de temps.,Ur isṛuḥay ara akud.,Ur iḍeyyiɛ ara lweqt.
Tom ne perd pas de temps.,Ur yesṛuḥay ara Tom akud.,Tom ur iḍeyyiɛ ara lweqt.
Tom ne perd pas de temps.,Ur yesṛuḥay ara Tom lweqt.,Tom ur iḍeyyiɛ ara lweqt.
Avez-vous acheté les médicaments ?,Tuɣem-d dwawi?,Tseɣem-d isafaren?
Tom retira son chapeau.,Tom yekkes ačapun-is.,Tom yekkes tacacit-is.
Tom a tiré sur Mary.,Tom yewwet ɣef Mary.,Tom iwwet ɣef Mary.
Mary est très belle.,Mary tecbeḥ nezzeh.,Mary d tucbiḥt aṭas.
Mary est très belle.,Mary tecbeḥ aṭas.,Mary tucbeḥ aṭas.
Mary est très belle.,Mary tezyen aṭas.,Mary tucbiḥ nezzeh.
Mary est très belle.,Mary tezyen nezzeh.,Mary d tucbiḥt aṭas.
L'hiver approche.,Ad teddu cetwa.,Tagrest tqeṛṛeb-d.
L'hiver approche.,Ad teddu tegrest.,Tqeṛṛeb-d tegrest.
Jetons-y un coup d'œil.,Ayaw ad nger tiṭ.,Anmuqel.
Jetons-y un coup d'œil.,Ayaw ad nmuqel.,Anmuqel.
Jetons-y un coup d'œil.,Ayaw ad nwali.,Anmuqel.
Quelque chose a changé.,Yella wayen ibeddlen.,Kra ibeddel.
C'est l'heure.,D lawan kan.,D lweqt.
Trouve Tom.,Af-d Tom.,Af Tom.
Trouvez Tom.,Afet-d Tom.,Afet Tom.
Il nous faut l'argent.,Laqen-aɣ yidrimen.,Neḥwaǧ idrimen.
Il nous faut l'argent.,Nesra idrimen.,Neḥwaǧ idrimen.
Détestes-tu toujours le français ?,Zun tkerheḍ tanfransist?,Mazal tkeṛheḍ tafransist?
Détestes-tu toujours le français ?,Mazal tkerheḍ tanfransist?,Mazal tkeṛheḍ tafransist?
Détestez-vous encore le français ?,Zun daɣen tkerheḍ tanfransist?,Mazal tkeṛhem tafransist?
Détestez-vous encore le français ?,Mazal daɣen tkerheḍ tanfransist?,Mazal tkeṛhem tafransist?
Tom m'a parlé en français.,Yemmeslay-d yid-i Tom s tefransist.,Tom yemslay-iyi-d s tefransist.
Essayons-la.,Ayaw ad tt-neɛreḍ.,A-tt-narem.
Essayons-le.,Yyaw ad t-neɛreḍ.,A t-narem.
Tom est triste.,Tom yeḥzen.,Tom yeḥzen.
Tom est fou.,Tom yedderwec.,Tom d ameslub.
Tom est fou.,Tom d adderwic.,Tom d amehbul.
C'est ici.,Dagi.,D dagi.
Continue à parler.,Kemmel mmeslay.,Kemmel tmeslayeḍ.
Continue à parler.,Kemmel hdeṛ.,Kemmel meslay.
Continue à parler.,Kemmel awal-ik.,Kemmel tmeslayeḍ.
La bière est bonne.,Lbira telha.,Lbirra telha.
Tom a transpiré.,Tom yessuffeɣ tidi.,Tom iduqqes.
Est-ce un rêve ?,D targit?,D targit?
Tom obéit.,Tom yettaɣ awal.,Tom iḍuɛ.
Tom a obéi.,Tom yuɣ awal.,Tom yuɣ awal.
Elle est allée avec lui.,Truḥ yid-s.,Teṛuḥ yid-es.
Elle est allée avec lui.,Tedda yid-s.,Teṛuḥ yid-es.
Tom a des poules.,Tom ɣur-s tiyuzaḍ.,Tom yesɛa tiyuza.
Tom a des poules.,Tom yesɛa tiyuzaḍ.,Tom yesɛa tiyuza.
Tom et moi sommes amis.,Tom d nekk d imdukal.,Nekk d Tom d imeddukkal.
Tom et moi sommes amis.,Tom akked nekk d imdukal.,Nekk d Tom d imeddukkal.
Tom m'a dit qu'il parlait français.,Tom yenna-yi-d yettmeslay tefransist.,Tom yenna-yi-d belli ihedder tafransist.
Tom m'a dit qu'il parlait français.,Tom yenna-yi-d d akken yettmeslay tefransist.,Tom yenna-yi-d belli ihedder tafransist.
Quelle est la meilleure façon d'apprendre le français ?,Anta-tt tarrayt ifazen i ulmad n tefransist?,D acu i d tarrayt i d-yufan i ulmad n tefrensist?
Tom a beaucoup de livres français.,Tom ɣur-s ddeqs n yidlisen s tefransist.,Ɣur Tom aṭas n yidlisen ifransisen.
J'ai écrit une lettre en français.,Uriɣ tabrat s tefransist.,Uriɣ tabrat s tefransist.
Tom aime les animaux.,Tom iḥemmel iɣersiwen.,Tom iḥemmel iɣersiwen.
Combien de fois faut-il que je le répète ?,Acḥal n tikal i yessefk ad as-d-alseɣ?,Achḥal n tikkal i ilaq ad t-id-alseɣ?
Réponds à Tom.,Err-as i Tom.,Err-as i Tom.
Répondez à Tom.,Rret-as i Tom.,Erret i Tom.
Ne saute pas !,Ur ttengiz ara!,Ur ttneggiz ara!
Ne sautez pas !,Ur ttengizet ara!,Ur nneggzet ara!
Je parlerai.,Ad d-mmeslayeɣ.,Ad mmeslayeɣ.
Je parlerai.,Ad mmeslayeɣ.,Ad mmeslayeɣ.
Je parlerai.,Ad hedṛeɣ.,Ad mmeslayeɣ
Je parlerai.,Ad d-hedṛeɣ.,Ad mmeslayeɣ.
Je parlerai.,Ad iniɣ.,Ad mmeslayeɣ.
Je parlerai.,Ad d-iniɣ.,Ad mmeslayeɣ.
Je ne divulgue pas vos secrets.,Ur d-ttkeccifeɣ ara lesrar-nwen.,Ur fessreɣ ara israṛ-nwen.
Je ne divulgue pas vos secrets.,Ur d-ttkeccifeɣ ara lesrar-nkent.,Ur fessreɣ ara israṛ-nwen.
Je ne leur fais pas signe.,Ur sen-ttwehhiɣ ara.,Ur asen-reccmeɣ ara.
Je ne leur fais pas signe.,Ur sent-ttwehhiɣ ara.,Ur asen-reccmeɣ ara.
Je ne leur fais pas signe.,Ur sen-ttesɣaleɣ ara.,Ur asen-xeddmeɣ ara ccara.
Vous ne connaissez rien d'Istanbul.,Ur tessimem acemma ɣef Isṭanbul.,Ur tessnem acemma n Istanbul.
Tu ne connais rien d'Istanbul.,Ur tessineɣ acemma ɣef Isṭanbul.,Ur tessineḍ acemma n Stambul.
Tu ne connais rien d'Istanbul.,Ur tessineḍ walu ɣef Isṭanbul.,Ur tessineḍ acemma n Istanbul.
Il ne va pas mourir.,Ur ittemmat ara.,Ur yettmettat ara.
Je ne les bois pas.,Ur ten-tesseɣ ara.,Ur ten-sswayeɣ ara.
Je ne les bois pas.,Ur tent-ttesseɣ ara.,Ur ten sseway ara.
J'aime regarder par la fenêtre.,Ḥemmleɣ ad muqqleɣ ɣef ṭṭaq.,Ḥemmleɣ ad muqleɣ seg ttaq.
Il est un peu mieux qu'un mendiant.,Yif ciṭuḥ amattar.,Yif amesɛi s cwiṭ.
Il est un peu mieux qu'un mendiant.,Xir umeḍlab kan acemma.,Yif amesɛi s cwiṭ.
Il est parti au bureau de poste pour poster une lettre.,Iruḥ ɣer lbuṣta akken ad iceyyeε tabrat.,Iruḥ ɣer lpusṭa iwakken ad yazen tabrat.
Il est parti au bureau de poste pour poster une lettre.,Iruḥ ɣer tnazzant akken ad yazen tabrat.,Iruḥ ɣer lpusṭa iwakken ad yazen tabrat.
Ils se comportaient bizarrement.,"Wwin-d yiwen n tikli, weḥd-s.",Llan ttggan s tɣerfit.
"Mes pieds ont dix orteils, tout comme mes mains ont dix doigts.",Iḍarren-iw deg-sen εecra tfednin akken sεan ifassen-iw εecra iḍuḍan.,"Iḍarren-iw sεan mraw n tḍuḍan, am wakken ifassen-iw sεan mraw n tḍuḍan."
Son papa est mort l'année dernière.,Yemmut baba-s ilindi.,Baba-s yemmut aseggas yezrin.
"Nous ne pouvons changer l'histoire, mais nous pouvons apprendre d'elle.",Ur nezmir ad nbeddel amezruy maca nezmer ad d-nelmed seg-s.,"Ur nezmir ara ad nbeddel amezruy, lameɛna nezmer ad nelmed seg-s."
Je veux faire du volontariat pour expier tout ce que j'ai fait.,Bɣiɣ ad ruḥeɣ d awaziw akken ad xellṣeɣ kra xedmeɣ n dir.,Bɣiɣ ad xedmeɣ leqdic n tallelt iwakken ad kfureɣ ayen akk xedmeɣ.
Je vous y ai vu.,Ẓriɣ-ken dinna.,Walaɣ-ken din.
J'aimerais boire un coca.,Bɣiɣ ad sweɣ yiwen n kuka.,Bɣiɣ ad sweɣ lkuka.
"D'avance, merci.",Tanemmirt si tura.,Tanemmirt s umazwar.
"Nous trouvâmes le randonneur perdu, transi de froid.",Nufa-d aḥewwas-nni iwumi yeεreq ubrid yeqqur s usemmiḍ.,"Nufa amassafer i ijlan, yebbeṛbeṛ s usemmiḍ."
Tu ne devrais entretenir aucune fréquentation avec de tels gens.,Ur ilaq ara yakk ad txalḍeḍ imdanen am widak.,Ur ilaq ara ad tmuɛacereḍ imdanen am widak.
"Même si on pouvait vivre sur Mars, il faut d'abord y aller.","Ɣas nezmer ad nidir deg umtiweg n Meɣres, ilaq qbel ad naweḍ ɣer din.","Ɣas ma nezmer ad nidir deg Mars, ilaq uzyer ad nruḥ ɣer-s."
Il se faisait des illusions.,Yella yettkellix kan i iman-is.,Yella ițargu.
Elle n'a fait que regarder aux alentours.,Tmuqel kan akka d wakka.,Ala muqel i tmuqel tazzit.
Tu parles avec un voisin.,Theddreḍ d ḥdd n lǧiran ?,Tettmeslayeḍ d ujiran.
Tu parles avec un voisin.,Theddreḍ d kra unarag ?,Tettmeslayeḍ d ujiran.
J'ai cru que je serais toujours seul.,Nniɣ-as weḥd-i ara s-kemmleɣ.,Ɣileɣ ad iliɣ weḥd-i i lebda.
J'ai cru que je serais toujours seul.,Ɣilleɣ weḥd-i kan ara qqimeɣ.,Ɣileɣ ad iliɣ weḥdi daymen.
Un chien peut voir dans l'obscurité.,Aqjun iẓerr deg tillas.,Aqjun izmer ad iwali deg tillas.
Un chien peut voir dans l'obscurité.,Aydi yettwali i ṭṭlam.,Aqjun izmer ad iwali deg tillas.
Celui qui toujours rit est fou ; celui qui jamais ne rit est malheureux.,"Win yettaḍsan dima, d amehbul ; ma d win ur nettadṣa maḍi, d ameɣbun.",Win iteddsen daymen d amehbul ; win ur ntteddes ara yakk d amesbaṭel.
Je n'ai jamais porté de smoking.,Werǧin lsiɣ asmukin.,Werǧin lsiɣ asmoking.
Tu sais d'où viennent ces équations ?,Teẓriḍ ansi d-kkant tguda-ya ?,Teẓriḍ ansi i d-kkant tegdutin-agi?
Les avocats de la défense en appelèrent à la pitié.,Ibugaṭuten n temḥaddit ssutren tin tmella.,Ibugatuten n ummesten ssutren rreḥma.
C'est une femme mariée.,D tameṭṭut izewǧen.,D tamṭṭut yezewǧen.
Ils ont des jumelles.,Sεan takniwin.,Sɛan timsisliwin.
"Sur son lit d'hôpital, il gisait, pâle comme la mort.","Yella yeẓẓel ɣef umeṭreḥ di sbiṭar, werriɣ amzun yemmut.","Deg wusu-s n sbitar, yezzel, d awraɣ am lmut."
L'arbre a cessé de croître.,Addag-nni yugi ad yernu ad yimɣur.,Ttejra teḥbes gemmu.
L'arbre a cessé de croître.,Ttejra-nni tegguma ad timɣur.,Ttejra teḥbes gemmu.
"Tout à coup, un chien se mit à aboyer.","Ciṭuḥ kan, ata yebda yesseglaf uqjun.","Taswiɛt kan, yebda uqjun ad isseglaf."
C'est son premier jour à l'école.,D ass-is amenzu deg uɣerbaz.,D ass-is amezwaru deg uɣerbaz.
Tom écoute.,Tom yesmuzgut.,Tom isell.
Tom écoute.,Yettḥessis Tom.,Tom isell.
C'est le fruit défendu qui a le goût le plus doux.,D agummu yettuḥeṛṛmen ay bnin ugar.,D lfakya i d-yugdel i d-yifent deg lḥlawa.
Vendues !,Nzant.,Nzent!
Vendues !,A tid yenzan !,Znzent!
La vraie justice est dans la main de Dieu.,Taɣdemt n ṣṣeḥ atta ɣur Rebbi.,Lḥeqq n tidet deg ufus n Rebbi.
Notre école est située sur la colline.,Aɣerbaz-nneɣ yezga-d deg tewrirt.,Aɣerbaz-nneɣ yezga-d ɣef tewrirt.
"C'est trop loin pour aller à pied à la gare, aussi prenons l'autobus.","Yebεed lḥal mliḥ akken ad nruḥ ɣef uḍar alamma d taɣsert, yya kan ad neṭṭef lkar.","Yebɛed aṭas i wakken ad nruḥ s uḍar ɣer tgaṛt, ihi ayaw ad nerkeb deg uṭubis."
Ne fourre jamais la tête dans une ruche pour goûter le miel.,Ɣur-k ad tegreḍ aqerru-k deg teɣrast akken ad tεerḍeḍ tament.,Ur ssekcam ara aqerru-k deg tazzit iwakken ad tmeḍyeḍ tamment.
Elles sont sur le point de partir.,Atenta d abrid ad ruḥent.,Qrib ad ṛuḥent.
Qui va loin des yeux va loin du cœur.,W'ibeεden ɣef allen yebεed ɣef ul.,"Win i ibeɛden ɣef wallen, ibeɛed ɣef wul."
Nous espérons que vous viendrez nombreux.,Nessaram ad d-tasem s tuget.,Nessaram a d-tasem s waṭas.
Aucun d'entre nous n'est heureux.,Yiwen ur ihenna seg-neɣ.,Ula d yiwen deg-nneɣ ur ifreḥ.
À qui est ce manteau ?,W'ilan akebbuḍ-a ?,N wanwa ubaltu-agi?
L'ironie est la pudeur de l'humanité.,Aεekki d leḥya n talsa.,Tirni d lḥaya n talsa.
Il n'y a qu'un seul livre sur le bureau.,Yiwen wedlis kan i yellan ɣef tnarit.,Yella kan yiwen n udlis ɣef lbiru.
Les grandes vacances commencent en Juillet.,Imuras imeqqranen beddun deg yulyu.,Imuras imeqqranen bddun di yulyu.
Occupe-toi de tes propre affaires !,Lhu-d kan d ccɣel-ik!,Lhu-d d yiman-ik!
J'ai demandé à mon père de m'emmener au cirque.,Nniɣ-as i baba ad y-isstebeε ɣer ssirk.,Sutreɣ i baba ad yi-yawi ɣer usirk.
Je veux un bifteck bien cuit.,Bɣiɣ yiwen ubiftik yewwan akken ilaq.,Bɣiɣ abiftek yewwan mliḥ.
"Tout le monde pense à changer le monde, mais personne ne pense à se changer soi-même.","Bɣan merra ad beddlen amaḍal, maca yiwen ur s-yenna ad beddleɣ iman-iw.","Medden akk xemmmen ad beddlen amaḍal, meɛna ula d yiwen ur ixemmem ad ibeddel iman-is."
Cette grande entreprise va débourser plusieurs millions d'euros pour sa prochaine campagne publicitaire.,Takebbanit-a tameqqrant d imelyan n wuruten ara tṣerref ɣef tawayt udellel i d-iteddun.,Takebbant-agi tameqqrant ad tessefsex aṭas n yelyunen n yiwṛuten i tadiwent-is n usishel d-iteddun.
Je fais du bénévolat.,D awaziw i lliɣ.,Xeddmeɣ amahil amunan.
Nous nous sommes mutuellement excusés.,Nemsamaḥ.,Nemyusamaḥ.
Il est tombé dans les pommes.,Iruḥ deg-sent.,Yeɣli d amayeg.
Que se passe-t-il ?,D acu yeḍran ?,D acu i d-yeḍran?
"À huit heures et demie du matin, la petite troupe suivait la lisière du canal.","Ɣef ttmenya n ṣṣbeḥ, tarbaεt telḥa-d rrif n terga.","Ɣef tmenya d uzgen n ṣṣbeḥ, tarbaɛt tameẓyant tella tḍeffir rrif n ukanal."
Il est à l'université.,Atan deg tesdawit.,Yella deg tesdawit.
L'incendie a été rapidement maîtrisé.,Ur εeṭṭlen ara ssensen times-nni.,Times tettwaṭṭef s tɣawla.
Je demande ça par pure curiosité.,Steqsaɣ-d kan akka.,Steqsiɣ-d aya s tmuɣli kan.
Je demande ça par pure curiosité.,"Ulac, d tawnafit kan.",Steqsiɣ ayagi kan s tmuɣli.
"S'il n'y a pas de vie après la mort, alors vous feriez mieux de faire en sorte que celle-ci compte.","Ihi ma ulac tudert-iḍen deffir lmut, ɣas fket-as azal i ta n tura.","Ma ulac tudert deffir lmut, ihi axir-awen a d-tgem iwakken tinna ad tesɛu azal."
J'ai arrêté de boire de la bière.,"Dayen, ǧǧiɣ lbira.",Ḥebseɣ tisit n lbira.
La civilisation est à la base de toutes les idées politiques de l'époque concernée.,D taɣerma i d llsas n tiktiwin akk tisertanin n tallit-nni.,Taɣerma d llsas n tktiwin tisertiyin akk n tallit-nni.
J'ai rencontré par hasard un vieil ami à la gare de Tokyo.,Mlaleɣ yiwen seg imdukal-iw n zik akka kan s ugacur deg teɣsert n Tokyo.,Mlalɣ s tsedmirt d umdakkul aqdim deg tgaṛt n Tokyo.
J'ai rencontré par hasard un vieil ami à la gare de Tokyo.,Mlaleɣ yiwen seg imdukal-iw iqdimen s usamma kan deg teɣsert n Tokyo.,Mlalɣ s tsedmirt d umdakkul aqdim deg tgaṛt n Tokyo.
Je ne veux que vous aider !,Bɣiɣ kan ad ak-d-fkeɣ afus n tallalt!,Bɣiɣ kan ad awen-ɛiwneɣ !
Marie porte aujourd'hui la même robe qu'hier.,Ass-a Marie telsa taqendurt-nni ay tesla iḍelli.,Marie telsa ass-a taksiwt-nni n iḍelli.
«Puis-je venir avec toi ?» «Bien sûr !»,« Zemreɣ ad dduɣ yid-k? » « D ayen ibanen! »,« Zemreɣ ad d-aseɣ yid-k ? » « Bla ccek ! »
"« Parlez-vous allemand ? » « Non, je suis Française. »","« Tettmeslayeḍ talmanit? » – « Ala, nekk d tafṛansit. »","« Tessawaleḍ talmanit ? » « Ala, nekk d tafransist. »"
J'ai un ami qui se coupe lui-même les cheveux.,Sεiɣ yiwen umdakkel i igezzmen i yiman-is acekkuḥ.,Sɛiɣ amdakkul i ițgezzimen acebbub-is s yiman-is.
"Je n'aimais pas le vin, mais maintenant j'aime beaucoup.","Lliɣ ur ḥemmleɣ ara ccṛab, ma d tura ḥemmlaɣ-t aṭas.","Ur ḥemmleɣ ara ccrab zik, meɛna tura ḥemmleɣ-t aṭas."
C'est tout ce que tu veux ?,D aya kan i tebɣiḍ?,D ayagi kan i tebɣiḍ?
Qu'est-ce qu'un porc-épic ?,Dacu i d aruy?,D acu i d aruy ?
Est-ce tout ce que vous voulez ?,D aya kan i tebɣam?,D ayagi kan i tebɣam?
Est-ce tout ce que vous voulez ?,D aya kan i tebɣamt?,D ayagi kan i tebɣam?
Est-ce tout ce que vous voulez ?,D aya kan i tebɣiḍ?,D ayen kan i tebɣam?
Ces batteries sont toutes à plat.,Idɣaɣen-is akk fukken.,Tibatriyin-agi akk mmutent.
Ces piles sont toutes mortes.,Idɣaɣen-is akk mmuten.,Tipil-agi mmutent akk.
Pourquoi n'êtes-vous pas allé voir la police ?,Acuɣer ur tṛuḥeḍ ara ad teẓreḍ tamsulta?,Acuɣer ur t-rruḥem ara aț-țwalim lbulis?
"À chaque fois que je suis allé pour la voir, elle était déjà sortie.","Yal m'ara ruḥeɣ ad tt-ẓreɣ, ttafeɣ teffeɣ.","Yal tikelt i ruḥeɣ ad tt-waliɣ, tella teffeɣ yakan."
Il y a un pigeon blanc sur le toit.,Yiwen yitbir d amellal ata ɣef ssqef.,Yella yitbir amellal ɣef ssqef.
Il y a un pigeon blanc sur le toit.,Yella yiwen yitbir d amellal ɣef ssqef.,Yella yitbir amellal ɣef ssqef.
La rumeur s'est avérée vraie.,Awal-nni yuzzlen ziɣ d tidet.,Awal-nni yeffeɣ-d d tideț.
"Si tu te trouves piégé par un ours dans la forêt, ta meilleure option est de te mettre au sol et de faire le mort.","Ma yessexdem-ak-tt udebbiw deg teẓgi, xir kan ad tadreḍ ɣer lqaεa terreḍ iman-ik temmuteḍ.","Ma yella iḥeṣṣer-ik-id wursu deg teẓgi, ayen yifent d ad t-genneḍ ɣef lqaɛa u ad terr-eḍ iman-ik temmuteḍ."
Tout le monde hésita.,Kukran merra.,Kull yiwen ikukra.
"Pas si facile de trouver, ce qu'est cette chose-là.","Yewεeṛ maḍi ad d-naf d acu-t, wehdum-agi.",Ur ishil ara ad d-tafed d acu-tt tɣawsa-nni.
Il est resté muet au cours de cette discussion.,Yeggugem kra yekka umeslay-a.,Yeqqim d agugam deg wudiwen-agi.
Je veux voir le monde.,Bɣiɣ ad ẓreɣ ddunit.,Bɣiɣ ad waliɣ amaḍal.
"Qui n'aime point le vin, les femmes ni les chants, restera un sot toute sa vie durant.","Win ur nḥemmel ccrab d tlawin akked ccna, ad yeqqim d ungif ddunit-is akk.","Win ur iḥemmlen ara crab, tilawin d ccna, ad yeqqim d abuhal akk tudert-is."
Leur décision entraînera de fâcheuses conséquences.,Ray-a ddmen ad d-yeglu s inelkimen ur nettiεǧab.,Rray-nsen ad d-yeglu s yigemmaḍ n diri.
"Je ne fais que regarder, merci.","Xeẓẓreɣ kan, tanemmirt.","Tmuquleɣ kan, tanemmirt."
Vous travaillez trop ces derniers temps. N'êtes-vous donc pas fatigué ?,"Txeddmem bezzaf tineggura-ya, ur teεyim ara ?",Txeddmem aṭas ussan-agi ineggura. Ur teɛyim ara ihi?
Elle n'allumera pas de bougies dans sa chambre.,Ur tceεεel ara ticemmaεin deg texxamt-is.,Ur tceɛɛel ara ticemmaɛin di texxamt-is.
Les deux hommes étaient partenaires en affaires.,Sin-a yergazen llan d icriken.,Sin yirgazen-nni llan d imšerken deg tnezzut.
"Comment est-il possible que les mathématiques, qui sont après tout un produit de la pensée humaine indépendant de l'expérience, soient si admirablement adaptées aux objets de la réalité ?","Amek armi tassaweḍ tusnakt ad temtawi akk annect-a d lumuṛ n tilawt, nettat i d-yekkan si tedmi n wemdan, ur ncudd ɣer kra n termit?","Amek i yezmer ad yili d akken tusnakt, i yellan deg taggara d afares n uxemmem n umdan ur neqqin ara ɣer termit, ad tili tamsagant s wudem yessewhamen d tɣawsiwin n tilawt?"
Pas si facile de savoir ce qu'est ce machin-là.,"Yewεeṛ maḍi ad d-naf d acu-t, uyennat-a.",Ur ishil ara ad teẓreḍ d acu-t wayen-nni.
Je parie que tu ne devines même pas ce que c'est !,Atan dɣa tufiḍ-d acu-t wa!,Ggalen ur d-tettafeḍ ara d acu-t!
Je détestais la géographie.,Tuɣ kerheɣ tarakalt.,Kerheɣ tajyugraft.
Comment trait-on une vache ?,Amek teẓẓgen tafunast ?,Amek i ttezzgen tafunast?
Nous n'avons pas de fille.,Ur nesεi yelli-tneɣ.,Ur nesɛi ara yelli.
Nous n'avons pas de fille.,Taqcict ur tt-nesεi.,Ur nesɛi ara taqcict.
Elle doit nous avoir vues.,Ahat teẓra-yaɣ-d.,Ilaq twala-yaɣ-d.
Tom est un rêveur.,Tom d win yettargun.,Tom d amargan.
C'était un match serré.,D timlilit iḥerṣen.,D lmac yezmet.
"Il pleuvait et le temps que Joe rentre chez lui, ses cheveux étaient trempés.","Tella tekkat lehwa, dɣa deg ayen yuɣal Joe s axxam yebzeg akk ucekkuḥ-is.","La d-tekkat tgeffurt, armi d-yewweḍ Joe s axxam-is, yebzeg ucebbub-is."
"S'il continue à boire ainsi, il devra prendre un taxi pour rentrer à la maison.","Ma ikemmel itess akka, ilaq-as kan ad yeṭṭef aṭaksi ara t-yawin s axxam.","Ma ikemmel isess akka, yessefk fell-as ad d-yawi taxi iwakken ad yuɣal s axxam."
Cet oiseau peut imiter la voix humaine.,Afrux-a yettḥaka-d taɣect n wemdan.,Agdid-agi izmer ad iɛaned taɣect n wemdan.
"En cas d'incendie, brisez cette vitre.","Ma tekker tmes, rẓet zzaj-a.","Ma yella d times, rẓet lǧaǧ-agi."
Quelles sont les limites de la connaissance humaine ?,Anda tḥebbes tmusni n wemdan ?,Anten tilisa n tmusni n wemdan?
Pourquoi ?,Acuɣeṛ?,Acuɣer ?
Pourquoi ?,Ayɣeṛ?,Acuɣer ?
Pourquoi ?,Acimi?,Acuɣer ?
Sortez !,Ffɣet!,Ffɣet!
Oublie.,Ttu.,Ttu.
Commençons !,Ad nebdu!,Ayya ad nebdu!
Écoutez !,Ḥessem-d!,Ssemhset!
Dégage !,Qceɛ!,Ffeɣ!
